Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
TaxLegalReference,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",IN,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
TaxLegalReference,type,string,yes,maxLength=50,"^\S(?:.*\S)?$",PAN,"The reference type code as defined by the relevant tax and/or legal authority.",
TaxLegalReference,value,string,yes,maxLength=35,"^\S(?:.*\S)?$",AAAAA0000A,"The value of the `taxLegalReference`",
Transport,"carrierExportVoyageNumber",string,,maxLength=50,"^\S(?:.*\S)?$",2103S,"The identifier of an export voyage. The carrier-specific identifier of the export Voyage.",
Transport,"carrierImportVoyageNumber",string,,maxLength=50,"^\S(?:.*\S)?$",2103N,"The identifier of an import voyage. The carrier-specific identifier of the import Voyage.",
Transport,carrierServiceCode,string,,maxLength=11,"^\S(?:.*\S)?$",FE1,"The carrier-specific code of the service for which the schedule details are published.",
Transport,dischargeLocation,DischargeLocation,yes,,,,"The discharge location for this transport leg.",
Transport,loadLocation,LoadLocation,yes,,,,"The load location for this transport leg.",
Transport,modeOfTransport,string,,maxLength=50,,VESSEL,"The mode of transport as defined by DCSA. The currently supported values include:
- `VESSEL` (Vessel)
- `RAIL` (Rail)
- `TRUCK` (Truck)
- `BARGE` (Barge)
- `MULTIMODAL` (if multiple modes are used)",
Transport,plannedArrivalDate,"string(date)",yes,,,2021-05-19,"The planned date of arrival.",
Transport,plannedDepartureDate,"string(date)",yes,,,2021-05-17,"The planned date of departure.",
Transport,transportPlanStage,string,yes,,,PRC,"Code qualifying a specific stage of transport e.g. pre-carriage, main carriage transport or on-carriage transport
- `PRC` (Pre-Carriage)
- `MNC` (Main Carriage Transport)
- `ONC` (On-Carriage Transport)",
Transport,"transportPlanStageSequenceNumber",integer,yes,,,5,"Sequence number of the transport plan stage",
Transport,"universalExportVoyageReference",string,,"minLength=5
maxLength=5","^\d{2}[0-9A-Z]{2}[NEWSR]$",2103N,"A global unique voyage reference for the export Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]`
- `2 digits` for the year
- `2 alphanumeric characters` for the sequence number of the voyage
- `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",
Transport,"universalImportVoyageReference",string,,"minLength=5
maxLength=5","^\d{2}[0-9A-Z]{2}[NEWSR]$",2103N,"A global unique voyage reference for the import Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]`
- `2 digits` for the year
- `2 alphanumeric characters` for the sequence number of the voyage
- `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",
Transport,"universalServiceReference",string,,"minLength=8
maxLength=8","^SR\d{5}[A-Z]$",SR12345A,"A global unique service reference, as per DCSA standard, agreed by VSA partners for the service. The service reference must match the regular expression pattern: `SR\d{5}[A-Z]`. The letters `SR` followed by `5 digits`, followed by a checksum-character as a capital letter from `A to Z`.",
Transport,vesselIMONumber,string,,"minLength=7
maxLength=8","^\d{7,8}$",9321483,"The unique reference for a registered Vessel. The reference is the International Maritime Organisation (IMO) number, also sometimes known as the Lloyd&apos;s register code, which does not change during the lifetime of the vessel",
Transport,vesselName,string,,maxLength=50,"^\S(?:.*\S)?$","King of the Seas","The name of the Vessel given by the Vessel Operator and registered with IMO.",
Vessel,name,string,yes,maxLength=50,"^\S(?:.*\S)?$","King of the Seas","The name of the Vessel given by the Vessel Operator and registered with IMO.",
Vessel,vesselIMONumber,string,,"minLength=7
maxLength=8","^\d{7,8}$",9321483,"The unique reference for a registered Vessel. The reference is the International Maritime Organisation (IMO) number, also sometimes known as the Lloyd&apos;s register code, which does not change during the lifetime of the vessel",
